file_id,CHLF,CHLU,CPHL,FID,url,size,site_code,cruise_id,station,time_coverage_start,time_coverage_end,geospatial_lon_max,geospatial_lat_max,geospatial_vertical_min,geospatial_vertical_max,geom,instrument
1,46,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fe7,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20090224T001400Z_NRSESP_FV01_161.0-1-SBE19plus-46_C-20140131T033038Z.nc,190982,NRSESP,161.0,1,2009-02-24T09:16:07Z,2009-02-24T09:16:07Z,121.85,-33.93,1,46,POINT (-33.93 121.85),Seabird SBE19plus
2,48,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fe8,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20090512T043000Z_NRSESP_FV01_4000.0-1-SBE19plus-48_C-20140131T033052Z.nc,190981,NRSESP,4000.0,1,2009-05-12T08:55:14Z,2009-05-12T08:55:14Z,121.85,-33.933,1,48,POINT (-33.9329666667 121.85),Seabird SBE19plus
3,46,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fe9,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20090623T023000Z_NRSESP_FV01_4004.0-1-SBE19plus-47_C-20140131T033104Z.nc,190982,NRSESP,4004.0,1,2009-06-23T09:05:23Z,2009-06-23T09:05:23Z,121.85,-33.93,2,47,POINT (-33.93 121.85),Seabird SBE19plus
4,48,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fea,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20090917T014000Z_NRSESP_FV01_4008.0-1-SBE19plus-48_C-20140131T033116Z.nc,190983,NRSESP,4008.0,1,2009-09-17T08:24:34Z,2009-09-17T08:24:34Z,121.85,-33.93,1,48,POINT (-33.93 121.85),Seabird SBE19plus
5,42,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5feb,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20091216T023000Z_NRSESP_FV01_4010.0-1-SBE19plus-42_C-20140131T033128Z.nc,190982,NRSESP,4010.0,1,2009-12-16T04:48:29Z,2009-12-16T04:48:29Z,121.85,-33.93,1,42,POINT (-33.93 121.85),Seabird SBE19plus
6,39,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fec,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20100322T020000Z_NRSESP_FV01_4011.0-1-SBE19plus-48_C-20140131T033139Z.nc,190973,NRSESP,4011.0,1,2010-03-22T05:19:02Z,2010-03-22T05:19:02Z,121.85,-33.93,10,48,POINT (-33.93 121.85),Seabird SBE19plus
7,43,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fed,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20100629T022000Z_NRSESP_FV01_4013.0-1-SBE19plus-44_C-20140131T033151Z.nc,190982,NRSESP,4013.0,1,2010-06-29T06:59:51Z,2010-06-29T06:59:51Z,121.85,-33.93,2,44,POINT (-33.93 121.85),Seabird SBE19plus
8,52,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fee,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20101013T045100Z_NRSESP_FV01_4014.0-1-SBE19plus-52_C-20140131T033203Z.nc,190981,NRSESP,4014.0,1,2010-10-13T04:52:14Z,2010-10-13T04:52:14Z,121.85,-33.93,1,52,POINT (-33.93 121.85),Seabird SBE19plus
9,41,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5fef,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20110120T013400Z_NRSESP_FV01_4016.0-1-SBE19plus-41_C-20140131T033215Z.nc,190981,NRSESP,4016.0,1,2011-01-20T01:35:51Z,2011-01-20T01:35:51Z,121.85,-33.93,1,41,POINT (-33.93 121.85),Seabird SBE19plus
10,50,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5ff0,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20110512T023500Z_NRSESP_FV01_4018.0-1-SBE19plus-51_C-20140131T033227Z.nc,190981,NRSESP,4018.0,1,2011-05-12T02:37:02Z,2011-05-12T02:37:02Z,121.85,-33.93,2,51,POINT (-33.93 121.85),Seabird SBE19plus
11,48,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5ff1,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20110818T025600Z_NRSESP_FV01_4019.0-1-SBE19plus-50_C-20140131T033239Z.nc,190980,NRSESP,4019.0,1,2011-08-18T02:55:56Z,2011-08-18T02:55:56Z,121.85,-33.93,3,50,POINT (-33.93 121.85),Seabird SBE19plus
12,43,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5ff2,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20111130T070500Z_NRSESP_FV01_4020.0-1-SBE19plus-43_C-20140131T033251Z.nc,190982,NRSESP,4020.0,1,2011-11-30T07:07:41Z,2011-11-30T07:07:41Z,121.85,-33.93,1,43,POINT (-33.93 121.85),Seabird SBE19plus
13,44,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5ff3,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20120229T021500Z_NRSESP_FV01_4021.0-1-SBE19plus-45_C-20140131T033302Z.nc,190982,NRSESP,4021.0,1,2012-02-29T02:18:42Z,2012-02-29T02:18:42Z,121.85,-33.93,2,45,POINT (-33.93 121.85),Seabird SBE19plus
14,50,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5ff4,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20120309T014500Z_NRSESP_FV01_4022.0-1-SBE19plus-51_C-20140131T034938Z.nc,190973,NRSESP,4022.0,1,2012-03-09T01:48:37Z,2012-03-09T01:48:37Z,121.85,-33.93,2,51,POINT (-33.93 121.85),Seabird SBE19plus
15,43,0,0,anmn_ctd_profiles_map.fid-2e7be01d_16a2df372bf_5ff5,IMOS/ANMN/NRS/NRSESP/Biogeochem_profiles/IMOS_ANMN-NRS_CDEKOSTUZ_20120621T015600Z_NRSESP_FV01_4023.0-1-SBE19plus-43_C-20140131T033321Z.nc,190982,NRSESP,4023.0,1,2012-06-12T01:58:10Z,2012-06-12T01:58:10Z,121.85,-33.93,1,43,POINT (-33.93 121.85),Seabird SBE19plus
