site_code,CHLF,CHLU,CPHL,CHLFCHLU,CHLFCPHL,CHLUCPHL
NRSKAI,0,2,0,FALSE,FALSE,FALSE
SAM8SG,0,0,0,FALSE,FALSE,FALSE
GBRCCH,0,6,19,FALSE,FALSE,FALSE
ITFJBG,0,2,10,FALSE,FALSE,FALSE
NRSMAI,0,0,53,FALSE,FALSE,FALSE
GBRHIS,0,0,15,FALSE,FALSE,FALSE
SAM5CB,0,0,0,FALSE,FALSE,FALSE
GBROTE,0,1,11,FALSE,FALSE,FALSE
GBRLSH,0,4,15,FALSE,FALSE,FALSE
GBRPPS,0,8,20,FALSE,FALSE,FALSE
GBRMYR,0,3,11,FALSE,FALSE,FALSE
PH100,24,24,2,TRUE,FALSE,FALSE
NRSNSI,0,0,65,FALSE,FALSE,FALSE
NRSYON,1,16,16,FALSE,FALSE,FALSE
SYD100,7,7,1,TRUE,FALSE,FALSE
SAM1DS,0,0,0,FALSE,FALSE,FALSE
SAM2CP,0,0,0,FALSE,FALSE,FALSE
SAM3MS,0,0,0,FALSE,FALSE,FALSE
SAM4CY,0,0,0,FALSE,FALSE,FALSE
SAM6IS,0,0,0,FALSE,FALSE,FALSE
SAM7DS,0,0,0,FALSE,FALSE,FALSE
PIL050,0,0,1,FALSE,FALSE,FALSE
NRSROT,49,0,0,FALSE,FALSE,FALSE
NRSESP,34,0,0,FALSE,FALSE,FALSE
NRSDAR,0,4,14,FALSE,FALSE,FALSE
NRSNIN,0,2,16,FALSE,FALSE,FALSE
DARBGF,0,0,3,FALSE,FALSE,FALSE
WATR20,0,0,1,FALSE,FALSE,FALSE
